State,Voter Turnout Percentage (VEP)
United States,65.99%
Alabama,61.46%
Alaska,68.23%
Arizona,66.63%
Arkansas,56.17%
California,68.83%
Colorado,76.69%
Connecticut,70.09%
Delaware,68.34%
District of Columbia,68.87%
Florida,70.79%
Georgia,67.06%
Hawaii,55.35%
Idaho,64.94%
Illinois,66.52%
Indiana,61.06%
Iowa,72.04%
Kansas,65.10%
Kentucky,64.41%
Louisiana,64.14%
Maine,74.87%
Maryland,69.45%
Massachusetts,71.31%
Michigan,73.27%
Minnesota,79.21%
Mississippi,60.63%
Missouri,65.49%
Montana,71.34%
Nebraska,69.06%
Nevada,64.25%
New Hampshire,73.96%
New Jersey,72.04%
New Mexico,60.49%
New York,61.71%
North Carolina,71.00%
North Dakota,63.07%
Ohio,67.08%
Oklahoma,54.43%
Oregon,75.33%
Pennsylvania,69.93%
Rhode Island,63.09%
South Carolina,64.71%
South Dakota,65.62%
Tennessee,59.24%
Texas,59.79%
Utah,67.22%
Vermont,71.25%
Virginia,71.79%
Washington,75.33%
West Virginia,57.19%
Wisconsin,75.04%
Wyoming,64.74%
